X,Y,OCC_YEAR,OCC_MONTH,HOOD_158,NEIGHBOURHOOD_158
-79.49881935,43.68447022,2009,April,115,Mount Dennis
-79.50348382,43.6638838600001,2009,May,114,Lambton Baby Point
-79.43700867,43.6499778,2009,May,84,Little Portugal
-79.3201787799999,43.6683262600001,2009,May,65,Greenwood-Coxwell
-79.50045498,43.6679978700001,2009,May,111,Rockcliffe-Smythe
-79.3511160099999,43.6590728,2009,May,70,South Riverdale
-79.48210977,43.6832690200001,2009,May,111,Rockcliffe-Smythe
-79.48210977,43.6832690200001,2009,May,111,Rockcliffe-Smythe
-79.55405748,43.69533476,2009,June,6,Kingsview Village-The Westway
-79.4676254199999,43.7157229100001,2009,June,31,Yorkdale-Glen Park
-79.35232211,43.6453748100001,2009,June,70,South Riverdale
-79.35232211,43.6453748100001,2009,June,70,South Riverdale
-79.51115662,43.73645222,2009,July,25,Glenfield-Jane Heights
-79.28594715,43.77156796,2009,July,126,Dorset Park
-79.12809343,43.7938106400001,2009,July,143,West Rouge
-79.29878906,43.78369574,2009,July,118,Tam O'Shanter-Sullivan
-79.40746945,43.66590841,2009,July,79,University
-79.39543195,43.6718952300001,2009,August,95,Annex
-79.60636821,43.75500794,2009,August,1,West Humber-Clairville
-79.49458357,43.61044737,2009,August,160,Mimico-Queensway
-79.25578146,43.7366975900001,2009,August,138,Eglinton East
-79.59299502,43.7380515300001,2009,August,1,West Humber-Clairville
-79.58816144,43.7463088200001,2009,August,2,Mount Olive-Silverstone-Jamestown
-79.33818429,43.6724438800001,2009,September,69,Blake-Jones
-79.36788884,43.6503885400001,2009,September,166,St Lawrence-East Bayfront-The Islands
-79.36912046,43.7912887300001,2009,September,49,Bayview Woods-Steeles
-79.27266228,43.71755991,2009,September,124,Kennedy Park
-79.43477789,43.63394606,2009,October,85,South Parkdale
-79.37724155,43.6506628600001,2009,October,168,Downtown Yonge East
-79.48758849,43.74960108,2009,October,27,York University Heights
-79.4309798199999,43.6747165400001,2009,October,94,Wychwood
-79.34637501,43.6793997600001,2009,November,67,Playter Estates-Danforth
-79.49669119,43.7519315000001,2009,November,27,York University Heights
-79.3991407199999,43.6726845000001,2009,November,95,Annex
-79.35443287,43.66501487,2009,November,68,North Riverdale
-79.40746945,43.66590841,2009,November,79,University
-79.4388993699999,43.69153429,2009,November,107,Oakwood Village
-79.5506332799999,43.6882219500001,2009,November,6,Kingsview Village-The Westway
-79.3877203499999,43.6656387100001,2009,November,169,Bay-Cloverhill
-79.26649651,43.7689357200001,2009,November,156,Bendale-Glen Andrew
-79.50475341,43.7157347200001,2009,December,28,Rustic
-79.37377428,43.66728915,2009,December,74,North St.James Town
-79.5680594,43.75679841,2009,December,21,Humber Summit
-79.52378628,43.7023662,2009,December,113,Weston
-79.52304256,43.71769714,2009,December,154,Oakdale-Beverley Heights
-79.49860984,43.6655991000001,2009,December,89,Runnymede-Bloor West Village
-79.39727175,43.65765974,2009,December,78,Kensington-Chinatown
-79.47895426,43.665557,2009,December,90,Junction Area
-79.35443287,43.66501487,2010,January,68,North Riverdale
-79.2112059299999,43.8118508200001,2010,January,146,Malvern East
-79.39815971,43.6502557800001,2010,January,78,Kensington-Chinatown
-79.31708305,43.76201546,2010,January,119,Wexford/Maryvale
-79.37474228,43.6638706700001,2010,February,71,Cabbagetown-South St.James Town
-79.50260919,43.6984112100001,2010,February,30,Brookhaven-Amesbury
-79.50475341,43.7157347200001,2010,February,28,Rustic
-79.2379329299999,43.7381286400001,2010,February,138,Eglinton East
-79.3086548799999,43.66363618,2010,February,70,South Riverdale
-79.19946946,43.7654409400001,2010,March,136,West Hill
-79.3133714699999,43.76653881,2010,March,119,Wexford/Maryvale
-79.45343918,43.65502403,2010,April,87,High Park-Swansea
-79.3689085,43.6550194000001,2010,April,73,Moss Park
