EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,PRIMARY_OFFENCE,REPORT_YEAR,REPORT_MONTH
GO-20149003010,70,South Riverdale,-79.338846631,43.6596729030001,THEFT UNDER,2014,April
GO-20141955292,174,South Eglinton-Davisville,-79.395678918,43.6975318280001,THEFT UNDER,2014,April
GO-20141961364,171,Junction-Wallace Emerson,-79.457624293,43.666501005,MISCHIEF UNDER,2014,April
GO-20149003009,162,West Queen West,-79.415275448,43.6421119080001,THEFT UNDER,2014,April
GO-20141963730,166,St Lawrence-East Bayfront-The Islands,-79.375281285,43.6463553950001,THEFT UNDER,2014,April
GO-20141952954,84,Little Portugal,-79.4268222749999,43.6521155890001,THEFT UNDER,2014,April
GO-20149003014,168,Downtown Yonge East,-79.376860377,43.6597281200001,THEFT UNDER,2014,April
GO-20141968743,92,Corso Italia-Davenport,-79.436108997,43.675274857,THEFT UNDER,2014,April
GO-20141969226,39,Bedford Park-Nortown,-79.426574159,43.718206529,THEFT UNDER,2014,April
GO-20141971165,73,Moss Park,-79.3685640699999,43.6588648430001,THEFT UNDER,2014,April
GO-20141963213,83,Dufferin Grove,-79.436601133,43.6557476510001,THEFT UNDER,2014,April
GO-20149003046,172,Dovercourt Village,-79.423264924,43.662503766,THEFT UNDER,2014,April
GO-20149003059,170,Yonge-Bay Corridor,-79.382114209,43.6590897740001,THEFT UNDER,2014,April
GO-20149003063,86,Roncesvalles,-79.4313989459999,43.6434816920001,THEFT UNDER,2014,April
GO-20141982447,167,Church-Wellesley,-79.381453291,43.6684678990001,THEFT UNDER,2014,April
GO-20141980914,162,West Queen West,-79.40676745,43.64348463,THEFT UNDER,2014,April
GO-20149003074,13,Etobicoke West Mall,-79.568005157,43.6512746340001,THEFT UNDER,2014,April
GO-20141979503,95,Annex,-79.399832827,43.667510694,THEFT UNDER,2014,April
GO-20141988153,78,Kensington-Chinatown,-79.4019092889999,43.6542057780001,FTC PROBATION ORDER,2014,April
GO-20141988123,168,Downtown Yonge East,-79.37814596,43.6544494460001,THEFT UNDER,2014,April
GO-20141987552,169,Bay-Cloverhill,-79.393522557,43.6672588920001,THEFT UNDER,2014,April
GO-20141990152,174,South Eglinton-Davisville,-79.3894391919999,43.698002511,B&E,2014,April
GO-20141992310,68,North Riverdale,-79.346440227,43.6716508860001,THEFT UNDER,2014,May
GO-20141995643,167,Church-Wellesley,-79.379902092,43.6699677940001,THEFT UNDER,2014,May
GO-20149003097,80,Palmerston-Little Italy,-79.414030473,43.6606405200001,THEFT UNDER,2014,May
GO-20141992869,107,Oakwood Village,-79.4446776519999,43.6953111500001,THEFT UNDER,2014,May
GO-20149003119,169,Bay-Cloverhill,-79.3846778989999,43.662355388,THEFT UNDER,2014,May
GO-20142008850,171,Junction-Wallace Emerson,-79.4423157319999,43.6689821960001,THEFT UNDER,2014,May
GO-20149003131,70,South Riverdale,-79.350616584,43.643085501,THEFT UNDER,2014,May
GO-20142007176,56,Leaside-Bennington,-79.365435567,43.70860084,THEFT UNDER,2014,May
