X,Y,OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-79.380755468,43.6521200970001,9246,GO-20212487125,2021/12/26 05:00:00+00,2021/12/26 05:00:00+00,2021,December,26,360,Sunday    ,17,2021,December,26,360,Sunday    ,17,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.3807554676371,43.6521200974952
-79.584768057,43.6720206260001,9247,GO-20212485950,2021/12/26 05:00:00+00,2021/12/08 05:00:00+00,2021,December,26,360,Sunday    ,13,2021,December,8,342,Wednesday ,20,D23,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.5847680572949,43.672020626096
-79.4118604399999,43.6340690690001,9248,GO-20212480819,2021/12/28 05:00:00+00,2021/12/11 05:00:00+00,2021,December,28,362,Tuesday   ,13,2021,December,11,345,Saturday  ,0,D14,Bar / Restaurant,Commercial,2130,210,Theft Over,Theft Over,163,Fort York-Liberty Village,82,Niagara (82),-79.4118604401987,43.6340690694362
-79.563231034,43.665975775,9249,GO-20212490232,2021/12/28 05:00:00+00,2021/12/03 05:00:00+00,2021,December,28,362,Tuesday   ,17,2021,December,3,337,Friday    ,18,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2132,200,Theft From Motor Vehicle Over,Theft Over,11,Eringate-Centennial-West Deane,11,Eringate-Centennial-West Deane (11),-79.5632310335884,43.6659757754736
-79.546923265,43.6101984160001,9250,GO-20212494719,2021/12/28 05:00:00+00,2021/12/28 05:00:00+00,2021,December,28,362,Tuesday   ,1,2021,December,28,362,Tuesday   ,1,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2130,200,Theft From Mail / Bag / Key,Theft Over,20,Alderwood,20,Alderwood (20),-79.5469232650487,43.6101984163287
-79.218310536,43.7452987070001,9251,GO-20212494181,2021/12/28 05:00:00+00,2021/12/27 05:00:00+00,2021,December,28,362,Tuesday   ,12,2021,December,27,361,Monday    ,19,D43,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,139,Scarborough Village,139,Scarborough Village (139),-79.2183105364279,43.745298706611
-79.292175555,43.696071514,9252,GO-20212498995,2021/12/28 05:00:00+00,2021/12/28 05:00:00+00,2021,December,28,362,Tuesday   ,18,2021,December,28,362,Tuesday   ,18,D55,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,61,Taylor-Massey,61,Taylor-Massey (61),-79.292175554631,43.6960715138131
-79.414654102,43.7788116340001,9253,GO-20212505047,2021/12/29 05:00:00+00,2021/12/15 05:00:00+00,2021,December,29,363,Wednesday ,18,2021,December,15,349,Wednesday ,21,D32,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,151,Yonge-Doris,51,Willowdale East (51),-79.4146541019431,43.7788116343759
-79.289727054,43.7330744130001,9254,GO-20212502043,2021/12/29 05:00:00+00,2021/12/24 05:00:00+00,2021,December,29,363,Wednesday ,11,2021,December,24,358,Friday    ,5,D41,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2132,200,Theft From Motor Vehicle Over,Theft Over,119,Wexford/Maryvale,119,Wexford/Maryvale (119),-79.2897270535877,43.7330744128151
-79.4772297169999,43.650905456,9255,GO-20212506266,2021/12/29 05:00:00+00,2021/12/17 05:00:00+00,2021,December,29,363,Wednesday ,19,2021,December,17,351,Friday    ,21,D11,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,89,Runnymede-Bloor West Village,89,Runnymede-Bloor West Village (89),-79.4772297169639,43.6509054558028
-79.354310136,43.7463526610001,9256,GO-20212503655,2021/12/29 05:00:00+00,2021/12/21 05:00:00+00,2021,December,29,363,Wednesday ,13,2021,December,21,355,Tuesday   ,0,D33,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,42,Banbury-Don Mills,42,Banbury-Don Mills (42),-79.3543101358003,43.7463526612318
-79.380755468,43.6521200970001,9257,GO-20212505338,2021/12/29 05:00:00+00,2021/12/29 05:00:00+00,2021,December,29,363,Wednesday ,17,2021,December,29,363,Wednesday ,15,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.3807554676371,43.6521200974952
-79.385522793,43.6561215850001,9258,GO-20219038460,2021/12/30 05:00:00+00,2021/12/20 05:00:00+00,2021,December,30,364,Thursday  ,15,2021,December,20,354,Monday    ,13,D52,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.3855227926521,43.6561215847975
-79.3280766779999,43.7814930120001,9259,GO-20212492636,2021/12/31 05:00:00+00,2021/12/27 05:00:00+00,2021,December,31,365,Friday    ,16,2021,December,27,361,Monday    ,4,D33,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2132,200,Theft From Motor Vehicle Over,Theft Over,46,Pleasant View,46,Pleasant View (46),-79.3280766776426,43.7814930120141
-79.4376716639999,43.702517098,9260,GO-20212492613,2021/12/31 05:00:00+00,2021/12/24 05:00:00+00,2021,December,31,365,Friday    ,18,2021,December,24,358,Friday    ,21,D13,"Apartment (Rooming House, Condo)",Apartment,2132,200,Theft From Motor Vehicle Over,Theft Over,102,Forest Hill North,102,Forest Hill North (102),-79.4376716636383,43.7025170979925
