EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,REPORT_YEAR,REPORT_MONTH,OFFENCE,MCI_CATEGORY
GO-20141422648,123,Cliffcrest,-79.2309026409999,43.7238602400001,2014,January,Robbery - Business,Robbery
GO-20141427056,146,Malvern East,-79.213929604,43.810542217,2014,January,Robbery - Purse Snatch,Robbery
GO-20141422268,171,Junction-Wallace Emerson,-79.438667202,43.6592063630001,2014,January,Robbery - Other,Robbery
GO-20141422965,65,Greenwood-Coxwell,-79.3304142439999,43.6800464830001,2014,January,Robbery - Taxi,Robbery
GO-20141428223,42,Banbury-Don Mills,-79.3440530189999,43.7358248620001,2014,January,Robbery - Purse Snatch,Robbery
GO-20141428673,142,Woburn North,-79.2307976549999,43.7802621960001,2014,January,Robbery - Home Invasion,Robbery
GO-20141430482,143,West Rouge,-79.140913127,43.78965415,2014,January,Robbery - Financial Institute,Robbery
GO-20141429887,107,Oakwood Village,-79.450275255,43.6956857800001,2014,January,Robbery - Purse Snatch,Robbery
GO-20141432224,170,Yonge-Bay Corridor,-79.381714613,43.651887581,2014,January,Robbery - Swarming,Robbery
GO-20141432309,168,Downtown Yonge East,-79.3799703459999,43.654056612,2014,January,Robbery - Mugging,Robbery
GO-20141430021,162,West Queen West,-79.411101674,43.645361945,2014,January,Robbery - Business,Robbery
GO-20141438338,66,Danforth,-79.345152401,43.6796730720001,2014,January,Robbery - Business,Robbery
GO-20141434719,69,Blake-Jones,-79.338160095,43.6783219270001,2014,January,Robbery - Taxi,Robbery
GO-20141438783,69,Blake-Jones,-79.334966123,43.6798746790001,2014,January,Robbery With Weapon,Robbery
GO-20141438655,1,West Humber-Clairville,-79.57422257,43.721497798,2014,January,Robbery - Other,Robbery
GO-20141439592,42,Banbury-Don Mills,-79.3471381419999,43.735406051,2014,January,Robbery - Vehicle Jacking,Robbery
GO-20141434303,119,Wexford/Maryvale,-79.299389387,43.744343943,2014,January,Robbery - Other,Robbery
GO-20141435338,83,Dufferin Grove,-79.432812019,43.6574462840001,2014,January,Robbery - Mugging,Robbery
