EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,REPORT_YEAR,REPORT_MONTH
GO-2005795645,81,Trinity-Bellwoods,-79.410916184,43.65130277,2005,October
GO-20051234246,145,Malvern West,-79.220921151,43.805573183,2005,September
GO-20051297374,23,Pelmo Park-Humberlea,-79.518449645,43.711177847,2005,October
GO-20051057010,21,Humber Summit,-79.570689868,43.7584723840001,2005,June
GO-2005736154,136,West Hill,-79.176276029,43.770643831,2005,August
GO-20051033503,148,East L'Amoreaux,-79.315762627,43.796766877,2005,July
GO-20051050162,27,York University Heights,-79.486985214,43.7470450050001,2005,May
GO-2005866828,141,Golfdale-Cedarbrae-Woburn,-79.2110468549999,43.7628602090001,2005,January
GO-2005985803,2,Mount Olive-Silverstone-Jamestown,-79.585306606,43.732253121,2005,July
GO-20051438767,1,West Humber-Clairville,-79.596527677,43.7440579280001,2005,November
GO-20051299785,136,West Hill,-79.184878452,43.764861825,2005,November
GO-2005928264,50,Newtonbrook East,-79.415785663,43.780723068,2005,February
GO-2005760646,62,East End-Danforth,-79.294917039,43.6897126790001,2005,June
GO-20051492210,138,Eglinton East,-79.2540151549999,43.7370542780001,2005,December
GO-20051072514,44,Flemingdon Park,-79.3349537239999,43.718724278,2005,August
GO-20051322417,22,Humbermede,-79.536259733,43.7532842370001,2005,November
GO-20051008718,54,O'Connor-Parkview,-79.296656275,43.703989736,2005,August
GO-20051000509,24,Black Creek,-79.521867205,43.766763417,2005,June
GO-2005847166,146,Malvern East,-79.2124350729999,43.8120751340001,2005,July
GO-20051261119,147,L'Amoreaux West,-79.3309315669999,43.7974470520001,2005,October
GO-2005771937,7,Willowridge-Martingrove-Richview,-79.5617292749999,43.6789329210001,2005,March
GO-2005812216,25,Glenfield-Jane Heights,-79.5132172799999,43.7393831790001,2005,August
GO-2005840492,44,Flemingdon Park,-79.334182185,43.7149202680001,2005,July
GO-2005955718,164,Wellington Place,-79.388680294,43.648193862,2005,February
GO-20051189864,139,Scarborough Village,-79.22055842,43.7428288200001,2005,August
GO-2005986104,128,Agincourt South-Malvern West,-79.248483285,43.791842015,2005,March
GO-20051072297,168,Downtown Yonge East,-79.3761848619999,43.65159801,2005,June
GO-2005951634,169,Bay-Cloverhill,-79.3853580109999,43.661715203,2005,February
GO-2005815617,171,Junction-Wallace Emerson,-79.4474865569999,43.6617033950001,2005,June
GO-20051293131,44,Flemingdon Park,-79.329650999,43.715305035,2005,October
GO-2005953786,42,Banbury-Don Mills,-79.356301821,43.7409758220001,2005,March
GO-2005974984,1,West Humber-Clairville,-79.6035023169999,43.7326613440001,2005,July
GO-20051265274,2,Mount Olive-Silverstone-Jamestown,-79.591699497,43.736766867,2005,October
GO-2005761120,25,Glenfield-Jane Heights,-79.509522128,43.7391209370001,2005,August
GO-20051083309,12,Markland Wood,-79.581941738,43.63750829,2005,June
GO-20051038563,148,East L'Amoreaux,-79.30597807,43.7989921240001,2005,June
GO-2005812215,22,Humbermede,-79.54160509,43.7482274440001,2005,July
GO-20051258191,2,Mount Olive-Silverstone-Jamestown,-79.5923067479999,43.7423702610001,2005,November
GO-20051460790,136,West Hill,-79.190021718,43.767152982,2005,December
GO-20051402217,92,Corso Italia-Davenport,-79.450597393,43.676298037,2005,December
